date,excessya
2010-11-30,-0.029183387992018445
2010-12-31,0.7578612858612913
2011-01-31,0.26730195420506475
2011-02-28,0.37611595685318566
2011-03-31,-0.013508099845088894
2011-04-29,0.33675332987634105
2011-05-31,-0.16362245648388973
2011-06-30,-0.22127288622805355
2011-07-29,-0.2614325713818114
2011-08-31,-0.7017100392058737
2011-09-30,-0.893808125330784
2011-10-31,1.2276533375547631
2011-11-30,-0.06086208109262864
2011-12-30,0.10186021155776531
2012-01-31,0.511362289188071
2012-02-29,0.47668258707669225
2012-03-30,0.36950451501615716
2012-04-30,-0.09121510845339569
2012-05-31,-0.7770540744682175
2012-06-29,0.4646766486541204
2012-07-31,0.14924348740249585
2012-08-31,0.2339814420504943
2012-09-28,0.28645143894197567
2012-10-31,-0.24096390569572118
2012-11-30,0.03335526039684176
