date,return
2007-09-06,0.04680628833742435
2007-09-07,0.05858760344101976
2007-09-10,0.06873424475816972
2007-09-11,0.0531208684515257
2007-09-12,0.047433430772709555
2007-09-13,0.04572460113199154
2007-09-14,0.036008407963166254
2007-09-17,0.03381973604591049
2007-09-18,0.008564738107507727
2007-09-19,0.00039682303259000115
2007-09-20,-0.018505765390982136
2007-09-21,-0.014754329362816575
2007-09-24,-0.001780838394777634
2007-09-25,-0.0034988887541047464
2007-09-26,-0.009133380520173491
2007-09-27,0.00015077467665500568
2007-09-28,0.00683141628192431
2007-10-01,-0.01228792710108205
2007-10-02,-0.000626275115963568
2007-10-03,-0.022852096555683668
2007-10-04,-0.021989213859967147
2007-10-05,-0.039907159082473956
2007-10-08,-0.023476959247737617
2007-10-09,-0.05911452023223297
