date,rtrn
2007-08-30,-0.06943322026840604
2007-08-31,-0.08490323848081277
2007-09-04,-0.09619389931039404
2007-09-05,-0.06550706329991984
2007-09-06,-0.10125049470213185
2007-09-07,-0.0838088304144256
2007-09-10,-0.08549006182986156
2007-09-11,-0.11382784139164717
2007-09-12,-0.11169022952461007
2007-09-13,-0.10482174821091128
2007-09-14,-0.10510575676402766
2007-09-17,-0.10716702569466949
2007-09-18,-0.14361910342516787
2007-09-19,-0.14707864741074586
2007-09-20,-0.1633750628345797
2007-09-21,-0.16278267543921418
2007-09-24,-0.1621742713664039
2007-09-25,-0.15524179895651427
2007-09-26,-0.18877696012331668
2007-09-27,-0.19647200719786115
2007-09-28,-0.19355778150035302
2007-10-01,-0.20146016155291002
2007-10-02,-0.21889230794712172
2007-10-03,-0.223108778729044
