KYTREASNOX,MCALDT,TMBIDYTM,TMASKYTM
2000002,2014-01-31,2.0278284739070E-02,1.0139015627076E-02
2000002,2014-02-28,5.5767723007705E-02,4.5627566598743E-02
2000002,2014-03-31,3.5487611962573E-02,2.5347987950334E-02
2000002,2014-04-30,4.0557628536320E-02,2.0278296005324E-02
2000002,2014-05-30,3.5487663719052E-02,2.5348014355897E-02
2000002,2014-06-30,2.5347987950334E-02,2.0278267839843E-02
2000002,2014-07-31,2.5348023157786E-02,2.0278290372258E-02
2000002,2014-08-29,3.0417820023608E-02,2.0278290372258E-02
2000002,2014-09-30,1.5208608991027E-02,5.0694750725698E-03
2000002,2014-10-31,1.5208618496724E-02,5.0694761287030E-03
2000002,2014-11-28,1.5208618496724E-02,5.0694761287030E-03
2000002,2014-12-31,4.5627623638658E-02,3.5487698223465E-02
2000002,2015-01-30,1.0139015627076E-02,0.0000000000000E+00
2000002,2015-02-27,1.5208618496724E-02,5.0694761287030E-03
2000002,2015-03-31,3.0417845373401E-02,2.5348040761524E-02
