date,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,optionid,forward_price,index_flag,issuer,exercise_style
19961023,19961116,19961023,P,720000,15.5,16.25,569,1881,0.129854,-0.685689,0.015696,10566093,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,P,550000,0,0.0625,10,3539,0.357767,-0.001704,0.000088,10588435,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,C,650000,63.625,64.625,401,1709,0.208264,0.866759,0.00362,10572065,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,P,730000,22.625,23.625,186,595,0.120821,-0.837735,0.011631,10778542,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19970118,19961023,P,690000,12,12.75,3,5,0.162922,-0.325296,0.006453,10674676,712.523986,1,CBOE S&P 500 INDEX,E
19961023,19970322,19961023,P,620000,5.375,5.875,10,2933,0.203847,-0.117861,0.002145,10720840,716.554469,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,P,705000,8.25,8.625,934,5968,0.146572,-0.436613,0.015458,10723730,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19970621,19961023,C,600000,125.5,126.5,1,1370,0.213853,0.863403,0.001636,10987513,722.557312,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,P,560000,0,0.0625,75,878,0.334306,-0.001817,0.0001,10809663,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,C,735000,1,1.25,127,1159,0.121177,0.111717,0.009033,11053311,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,630000,2,2.375,361,5751,0.22031,-0.076289,0.002327,10994506,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,C,740000,0.625,0.8125,205,4460,0.122351,0.076199,0.006742,10974838,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,C,705000,19.75,20.5,131,7884,0.15489,0.562587,0.00906,10869954,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19970322,19961023,P,700000,20,20.75,551,2789,0.157671,-0.384818,0.005345,11067959,716.554469,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,710000,16,16.25,6849,4237,0.148501,-0.479491,0.009565,10813143,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19970322,19961023,P,630000,6.375,6.875,3,1779,0.198068,-0.137886,0.002462,10957451,716.554469,1,CBOE S&P 500 INDEX,E
19961023,19970322,19961023,P,550000,1.625,1.875,6,3888,0.244582,-0.037466,0.00074,11016475,716.554469,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,C,670000,40.125,41.125,20,5634,0.201508,0.874855,0.005838,11038061,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,610000,1.1875,1.4375,1076,447,0.236854,-0.046335,0.001465,10981078,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,C,650000,59,60,2,5359,0.233858,0.935779,0.003038,10937509,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,C,725000,3,3.25,680,1624,0.129431,0.239763,0.013816,11196795,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,660000,4.25,4.625,178,6143,0.191212,-0.153798,0.00443,11197204,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,500000,0.0625,0.125,41,35,0.334412,-0.003181,0.000103,11176929,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,C,730000,1.9375,2,310,2736,0.125773,0.170815,0.011617,10985222,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,P,695000,5.375,5.5,459,6208,0.15892,-0.302924,0.012645,11118888,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,P,685000,3.5,3.875,3447,4266,0.175386,-0.209567,0.009446,11241093,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,C,710000,16.75,17.125,25,6940,0.149282,0.516787,0.009515,11008274,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,C,690000,30,31,51,6523,0.168392,0.681167,0.007532,11220497,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,675000,6.25,6.75,68,3358,0.177783,-0.220017,0.00595,11080395,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,625000,1.8125,2.0625,2057,5123,0.224793,-0.067667,0.00208,11045008,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,665000,4.875,5.25,6,6658,0.187087,-0.173841,0.004902,11142044,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,600000,1,1.1875,4743,5880,0.248509,-0.037912,0.001187,11047031,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961116,19961023,C,645000,63.875,64.875,10,10,0.244725,0.943199,0.00263,11104341,708.559727,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,P,725000,22.75,23.75,6840,9127,0.134936,-0.632979,0.009926,11270843,710.732164,1,CBOE S&P 500 INDEX,E
19961023,19961221,19961023,C,720000,11.5,12.25,552,7609,0.14359,0.419185,0.009707,11250874,710.732164,1,CBOE S&P 500 INDEX,E
