IV_D_h1,IV_D_h2,IV_D_h3,IV_D_h6,IV_D_h9,IV_D_h12,date
0.0006307541518662,0.00152947112771927,0.00281359968912519,0.00680889603843054,0.0107411280517464,0.0149665099811219,28-Dec-2004
0.000589122785200098,0.00159547838731868,0.00288069974317114,0.00653769602398428,0.0105521205572674,0.0149496160288342,29-Dec-2004
0.000686607651146408,0.00167167563966282,0.00287340339048741,0.00687534809659362,0.0108777755409431,0.0147001577311531,30-Dec-2004
0.00077270746057431,0.00178518641876369,0.00299741049604195,0.00703123343318032,0.0111404668334405,0.0148845660819825,31-Dec-2004
0.000886528549459784,0.00197544727348961,0.00325689077088747,0.00740038653969415,0.0117843487984663,0.0156215426988468,03-Jan-2005
0.000908779598042228,0.00193667398474558,0.00319647245897255,0.00744898128851562,0.0116527534555528,0.0156170630309614,04-Jan-2005
0.00091933606961418,0.00197977410394114,0.00327043215195763,0.00747586178428182,0.0115900233385468,0.0154275510831617,05-Jan-2005
0.000775091322504762,0.00180557880862707,0.00308566444985692,0.00697298835009532,0.010703681291089,0.014895710446488,06-Jan-2005
0.000764218419278754,0.00187005721721372,0.00304417688354024,0.00664194671170477,0.0106470620127295,0.0148059815355262,07-Jan-2005
0.00076600247161701,0.0018305744789797,0.00303151844024696,0.00667440513780849,0.0104647119210402,0.0145089196143188,10-Jan-2005
0.000763000734479387,0.00184315275014837,0.00297188288967299,0.00648890360859578,0.0103381123603028,0.0139835126066759,11-Jan-2005
0.000716548898841502,0.00163670016534757,0.00278117948810884,0.00624680148619605,0.00982143818372203,0.0140151397866145,12-Jan-2005
0.000710092100019983,0.00178012093578305,0.00290313614688067,0.00641169503335487,0.010299185132903,0.0142855159463097,13-Jan-2005
0.000664360723676618,0.0017242399204723,0.00279096519871156,0.00607490822804113,0.00951925677711137,0.0128635964996037,14-Jan-2005
0.000636719881665707,0.00158301298798578,0.0026131162906764,0.00576511962933761,0.00905795096081363,0.0124031290799185,18-Jan-2005
0.000758759453832322,0.0018721343492222,0.00295737743417604,0.0061354675672769,0.00954993149648896,0.0135951310219029,19-Jan-2005
0.000878064721770355,0.00204700165301407,0.00318640378927714,0.00665603071905999,0.0102159289959675,0.0137850759021164,20-Jan-2005
0.000907508454701114,0.00213031535242481,0.00337475769178643,0.00704777889933444,0.0108411427951038,0.0149683578855904,21-Jan-2005
0.00103405274653812,0.00224234891703092,0.00334036198751491,0.00703667438796104,0.0108974667307911,0.0149666160047514,24-Jan-2005
0.00091078861425747,0.00201211211503802,0.0031816440428708,0.00657374922753958,0.00996243731101985,0.0136735617120287,25-Jan-2005
0.000883669431204546,0.00192369875746163,0.00306446490867014,0.0063480328084997,0.00953506588420138,0.0128692857066755,26-Jan-2005
0.000788060749374325,0.00178115643164807,0.00286228738618892,0.00598063367701483,0.00915356681956052,0.0125531954641156,27-Jan-2005
0.00087761748472316,0.00189500806969689,0.00286900073234345,0.00620267939713213,0.0095523685260169,0.0128334211597438,28-Jan-2005
0.000730625788854699,0.00164422989012,0.00265603904418411,0.00583378017419721,0.00918640801018354,0.0125496535762488,31-Jan-2005
0.00067066588734046,0.00151078866140983,0.0024327701439478,0.0056290598351577,0.00865691134263095,0.0113390688780705,01-Feb-2005
0.00061418589227069,0.00144526938823979,0.00238329703313415,0.00516328186572493,0.00831517583382056,0.0118876343836346,02-Feb-2005
0.000672569402947094,0.00148467335687517,0.00236979226942346,0.00521183455480176,0.00815934704534185,0.0111633391217881,03-Feb-2005
0.000568206700488443,0.00132236552610599,0.00219385284778581,0.00478356256348899,0.00772215539865858,0.0110214699994778,04-Feb-2005
0.000627872062657512,0.0014001481167397,0.00220388307159103,0.00465716556566925,0.00714367072830594,0.00962785266734697,07-Feb-2005
0.000649340728451415,0.00132014157656712,0.00215058970192722,0.00462823987078517,0.00687382255190526,0.00901950757723632,08-Feb-2005
0.000686270777110529,0.001429210524777,0.0023052488391277,0.00492046040033726,0.00769898348274626,0.0106229305321409,09-Feb-2005
0.000684357185328159,0.00138922759925572,0.00220967631201026,0.00467905956188693,0.00715215529361164,0.00964228194082702,10-Feb-2005
0.000580773445552758,0.00131349165938082,0.00213627932881904,0.0045387420727201,0.00703003262728758,0.00960591235246945,11-Feb-2005
0.000560377944159131,0.00132813816919214,0.00212769997154299,0.00446740782244251,0.00699349500676416,0.00963443227202924,14-Feb-2005
0.000548909283629344,0.00126021457533065,0.00202230072170854,0.00435359879848591,0.00679542646646639,0.00928125323059689,15-Feb-2005
0.00052293273500449,0.00121663045604205,0.00196981255626956,0.00424132944003133,0.00666479680316667,0.00915808951088674,16-Feb-2005
0.000641747076229173,0.0013259811519176,0.00209781593620999,0.00447125206583449,0.00699369414257125,0.00957170887109353,17-Feb-2005
0.00057314948593651,0.00125018974807188,0.00209030350431636,0.00446003758555191,0.00695091088022631,0.00952243174912999,18-Feb-2005
0.000736360117187569,0.00157024394054314,0.00244605021923715,0.00517797422892096,0.00801742463562459,0.0109466289234364,22-Feb-2005
0.000708612594237055,0.00152841682376241,0.0024431986394937,0.00503954518014877,0.00779806920573522,0.0105888599366032,23-Feb-2005
0.000644637904957938,0.00131907928418956,0.00210959695172066,0.00481547382316935,0.00757610057457892,0.0103718490574007,24-Feb-2005
0.000547051856433746,0.0012143350911582,0.00196056573974649,0.0045102373025036,0.00718233322416636,0.00991847008850398,25-Feb-2005
0.000691973942736125,0.00144048362615801,0.0022075628598995,0.00493080830074144,0.00769861120614305,0.0104575697539624,28-Feb-2005
0.000679491362912977,0.00145507292615808,0.00228692986127307,0.00492429898001309,0.00765221341057012,0.0104079989474842,01-Mar-2005
0.000729612544465138,0.00155937407860252,0.00248090639992573,0.00527521494731236,0.00794245938136229,0.0106011869988781,02-Mar-2005
0.000744402508791987,0.00156767795989986,0.00247430836142354,0.00519491363515668,0.00798104904135245,0.0107919304812803,03-Mar-2005
0.000653510408765817,0.00141871732548857,0.00221860350480206,0.00470280628777549,0.00749553127262107,0.0103366213867306,04-Mar-2005
0.000646248529008163,0.0014454334748368,0.00225222943424475,0.00491776007065435,0.00746476053113501,0.00999043931084555,07-Mar-2005
0.000700142883288394,0.00143012698296789,0.00233269736515407,0.00479778486535491,0.00736775704324268,0.00995785713269035,08-Mar-2005
0.000752204649747035,0.00155952427250703,0.00249412308081644,0.00510847693139554,0.0078153915100333,0.0105359466395408,09-Mar-2005
0.000697152653089921,0.00160658460832966,0.00247124411046903,0.00535697984961549,0.00805685209109615,0.0107365764200663,10-Mar-2005
0.000763452868026232,0.00162162041986445,0.00263988040836465,0.00536355729764743,0.00815550083129912,0.0109559724595314,11-Mar-2005
0.000670926702424906,0.00167542783730224,0.00252291012531981,0.00523446890397984,0.00834949173568983,0.0114801133054329,14-Mar-2005
0.000787941047020675,0.00168969169749575,0.00277415210479183,0.00555626349101846,0.0082389332689671,0.0109193125545128,15-Mar-2005
0.000827701610137341,0.00191535269026521,0.00287073304237064,0.00569254415623829,0.0088648512718128,0.0120430101626063,16-Mar-2005
0.000746789293146866,0.00186924869487705,0.00297971138279111,0.00608653288986971,0.00895530686597824,0.011822779348189,17-Mar-2005
0.000745818748392166,0.0017490837062147,0.00299922804959916,0.0060798389711983,0.00911126683314965,0.012142694695101,18-Mar-2005
0.000820685078583207,0.00182556523853407,0.00309673704066656,0.00618780335255594,0.00927160609425112,0.0127645334549435,21-Mar-2005
0.000909843760736257,0.00199722442381871,0.00328212537560795,0.00652045379769789,0.00956151073958661,0.0126754536799576,22-Mar-2005
0.000882911344985821,0.00205607241483357,0.00322897058884553,0.00647631188161181,0.00963992219883954,0.0127264881629496,23-Mar-2005
0.000841180274879878,0.00185344288495352,0.00300734194190162,0.00612466480554995,0.00914445408794405,0.0122333838933923,24-Mar-2005
0.00083854320916064,0.00191427036915472,0.00318440488737947,0.00640762745188689,0.00919130979829418,0.0115002293680378,28-Mar-2005
0.000983953037901508,0.00211452696007713,0.00340341929770155,0.00672165466885962,0.00984883850901338,0.0125686022347639,29-Mar-2005
0.000848548846133529,0.00187968601194225,0.00309526966052221,0.00632691888645475,0.00937812316443366,0.0121988553054772,30-Mar-2005
0.000874502212108081,0.00189984990094566,0.00295361132210398,0.00609089036019357,0.00916250365623223,0.0121652129781654,31-Mar-2005
0.000928811113638666,0.00205131295941133,0.00318847065742234,0.00645432970676864,0.00960827465684803,0.012718031087498,01-Apr-2005
0.000922348696643999,0.00195977325481465,0.00308899037915153,0.00641715567104128,0.00959525105135105,0.0128217714138796,04-Apr-2005
