IV_U_h1,IV_U_h2,IV_U_h3,IV_U_h6,IV_U_h9,IV_U_h12,date
0.00292813122515182,0.00588007481389276,0.0087400077527587,0.0171084616258481,0.0249956777614886,0.0322866393714861,12-May-2009
0.00282824789955858,0.00567793499662826,0.00858362404819957,0.017723408773426,0.0264631664904176,0.0340655514811281,13-May-2009
0.00284889202028658,0.00555897083219648,0.00838897063797966,0.0164457678830564,0.0240046327354714,0.0310988357633818,14-May-2009
0.00264068436365808,0.00536822616432058,0.00817144280681343,0.0174931985212615,0.0253031775618656,0.0325517852697919,15-May-2009
0.00239844731660646,0.00478928927766134,0.00744559562765509,0.0149692289695075,0.023026430990057,0.031673049314543,18-May-2009
0.00216993272666842,0.00440636539063251,0.00692503994315347,0.0141764408764448,0.0221747845038943,0.0286231746618553,19-May-2009
0.0023874498220774,0.00466641204901405,0.00713621434290678,0.0143425529465882,0.0220168714479738,0.0302626922715395,20-May-2009
0.00251088552928703,0.00494067240452093,0.00761199095084991,0.0150569889423757,0.0236522867624652,0.0304984818255197,21-May-2009
0.00254317611586796,0.00513979655715209,0.00784523426610704,0.0154159356848661,0.0237118460338367,0.0327548291528532,22-May-2009
0.00208654134882171,0.00478322918693222,0.00730670488816073,0.0145939120150198,0.0212296402130871,0.0274136446758021,26-May-2009
0.00255946010587995,0.00491139118757613,0.00745190501677112,0.0149062717512725,0.0230897229033791,0.0313456637733819,27-May-2009
0.00241384720671131,0.00462676787744816,0.00707118325445605,0.0153485779140258,0.0225842025099619,0.0295396168370285,28-May-2009
0.00196479783657493,0.00404740480791147,0.00637691340325848,0.0133343017450696,0.0198860597349254,0.0314114104944222,29-May-2009
0.00197284782326581,0.00402440902214106,0.00651975048140847,0.0140066424140938,0.0205521285636571,0.0269046611560704,01-Jun-2009
0.00235882063710596,0.00447986816949506,0.00673239065091225,0.0134654527056417,0.0196665479970503,0.0256371650314077,02-Jun-2009
0.00224288283204192,0.00450788353985836,0.0072663396747178,0.0149768908593168,0.0216632719273014,0.0281629875677226,03-Jun-2009
0.002377455768114,0.00469793702379086,0.00709580935018748,0.0140919855054975,0.0218017072219046,0.0297957465356171,04-Jun-2009
0.00213951507498736,0.00442743965696856,0.00676451602107124,0.0149596378465176,0.021771180859948,0.0280520995444898,05-Jun-2009
0.00256855002013619,0.00501281383721559,0.00744736120231029,0.0147001425281312,0.0217388546858049,0.0287129883851699,08-Jun-2009
0.00195657833001518,0.00415654820185174,0.00641651825309305,0.0133472189738637,0.0214843061754328,0.0280855076452821,09-Jun-2009
0.00184571115903593,0.00395207118807799,0.006148560797116,0.0142140039862402,0.0208259735622857,0.0271235748548311,10-Jun-2009
0.00185371058791907,0.00382253705379062,0.00589816723806777,0.0131556730265653,0.0193970291171565,0.0253998572815161,11-Jun-2009
0.0016934426975952,0.00405549087648653,0.00631217799626103,0.0129894673898892,0.019125619179156,0.0251570128844085,12-Jun-2009
0.00245180220083678,0.00468977001196667,0.00701043314406006,0.0139668537069902,0.0202039757400791,0.0264122953838307,15-Jun-2009
0.00243344155786466,0.00471675869666275,0.00700793084845766,0.0150981758746233,0.0214176414821313,0.0276800201341671,16-Jun-2009
0.00234124385266727,0.0047332389483435,0.0070637884782162,0.0140624082272165,0.0217357081414712,0.0294448750862735,17-Jun-2009
0.00192267333848137,0.00471624213221985,0.00712580988413446,0.0142430010022908,0.0204333237290662,0.0267009434868443,18-Jun-2009
0.00185156580799024,0.00402428090684622,0.006256685628678,0.0131129340882695,0.0212893030538118,0.0277542895887448,19-Jun-2009
0.00252545690010476,0.00499943368763785,0.00754031592942016,0.0152209471332303,0.022265897142393,0.031186523100331,22-Jun-2009
0.00253318175832239,0.00490465696754748,0.00741720287353081,0.015063945032643,0.0219829350633089,0.028719348502475,23-Jun-2009
0.00221040406828686,0.00441846151054487,0.00684913146269514,0.014085143667576,0.0208417835607667,0.0290025701765463,24-Jun-2009
0.00174573201231155,0.00368210285812077,0.00587584751085537,0.0124554669030357,0.0191118651492914,0.0280214511329493,25-Jun-2009
0.00163060462268654,0.00353496096697586,0.00571704644925879,0.0124846757552198,0.0200402419188359,0.0274285702972243,26-Jun-2009
0.00162715044588713,0.00338228337264712,0.00542575264047561,0.011813100125186,0.0179521306093623,0.0260266864187518,29-Jun-2009
0.00189817259443551,0.00383941507654318,0.0060274391887112,0.0125465757621595,0.0187732801149777,0.0250590046233697,30-Jun-2009
0.00158866548261128,0.00339604562766874,0.00547887900396793,0.012891392348216,0.0192192807549153,0.0254764239798947,01-Jul-2009
0.0019929550761344,0.0041157634443514,0.00641418117596237,0.0130960913611955,0.0211398416263191,0.0276122881898384,02-Jul-2009
0.00208817573802016,0.00414500827692991,0.00635145156572914,0.0133358603251555,0.0208607767985004,0.025946060877486,06-Jul-2009
0.00242315190051657,0.00468261711981612,0.00706741114530898,0.0142945829042791,0.0210093489487244,0.0289746569574228,07-Jul-2009
0.00252814499354333,0.00485524189094654,0.0073076250619734,0.0145467852564549,0.0214896560588247,0.0296978411892792,08-Jul-2009
0.00243361671413752,0.00488723892564241,0.00738834541650765,0.014553026667625,0.021323506999841,0.0279426479530477,09-Jul-2009
0.00217685351777141,0.0045151358519891,0.00700715336571259,0.014135664136331,0.0211252488732156,0.0297248871678395,10-Jul-2009
0.00201354715021883,0.00417108397865118,0.00658391022625237,0.0136572584071895,0.020072658345827,0.0280672852480771,13-Jul-2009
0.00131511152470513,0.00411804615949012,0.00653503482333765,0.0135773433639191,0.0202790052619284,0.0266365418216248,14-Jul-2009
0.00163914512791441,0.00352749665230717,0.00559795953420268,0.0131797368076963,0.0198350800270554,0.0257256130331988,15-Jul-2009
0.00155848356285671,0.00337462772994607,0.00539501261985347,0.0129640978285168,0.0193884684557409,0.0248740044371627,16-Jul-2009
0.0014228937152802,0.00336338286268565,0.00546102308514668,0.0127642756228286,0.019213535148945,0.0243740469480147,17-Jul-2009
0.00157657694177705,0.00343108401558355,0.00537012170682164,0.0117799102484341,0.0185097547198098,0.0237903343673264,20-Jul-2009
0.00157734317659405,0.00346489538583607,0.00547306756922147,0.0115137433790318,0.017749277991105,0.0246518629806753,21-Jul-2009
0.00159824779612073,0.00347372060420364,0.00549608956518368,0.0114321396078162,0.0176073884017408,0.024577665901362,22-Jul-2009
0.00169926341060768,0.00350647310533935,0.00547067340143011,0.0113296307083029,0.0174632220703551,0.0243728584319689,23-Jul-2009
0.00169576086240581,0.00352495600436116,0.00550076812308866,0.0115239470393618,0.0172885551965071,0.0230786981018047,24-Jul-2009
0.00152778162636282,0.00324298962919751,0.00509464774043449,0.0111913679687119,0.0177666660903181,0.0238488106820497,27-Jul-2009
0.00173778287843287,0.00368107563986414,0.00575296378542945,0.0117926517376362,0.0182995332808815,0.0249543447293717,28-Jul-2009
