KYTREASNOX,MCALDT,TMBIDYTM,TMASKYTM,TMYTM
2000002,2003-07-31,9.4402672668391E-01,9.3386407554004E-01,9.3894536892551E-01
2000002,2003-08-29,9.9230283629478E-01,9.8213896192003E-01,9.8722086691324E-01
2000002,2003-09-30,9.4152249739025E-01,9.3135912748346E-01,9.3644077918464E-01
2000002,2003-10-31,9.3893328273932E-01,9.2877102064706E-01,9.3385211986294E-01
2000002,2003-11-28,9.2877102064706E-01,9.1860901319061E-01,9.2368998509011E-01
2000002,2003-12-31,9.3895745552683E-01,9.2879467280603E-01,9.3387603162546E-01
2000002,2004-01-30,9.1352810494690E-01,9.0336647942036E-01,9.0844726035740E-01
2000002,2004-02-27,9.4909579948015E-01,9.3893328273932E-01,9.4401450927787E-01
2000002,2004-03-31,9.3895745552683E-01,9.2879467280603E-01,9.3387603162546E-01
2000002,2004-04-30,9.6942159695867E-01,9.5925857088229E-01,9.6434005208547E-01
2000002,2004-05-28,1.0761487499230E+00,1.0659830489973E+00,1.0710658676083E+00
2000002,2004-06-30,1.2668468526635E+00,1.2566756674356E+00,1.2617612274547E+00
2000002,2004-07-30,1.4371963201710E+00,1.4270215652705E+00,1.4321089108121E+00
2000002,2004-08-31,1.6001324814991E+00,1.5899523035045E+00,1.5950423594944E+00
2000002,2004-09-30,1.7044148257351E+00,1.6942328905936E+00,1.6993238258557E+00
2000002,2004-10-29,1.9029645541588E+00,1.8927781072956E+00,1.8978712987452E+00
2000002,2004-11-30,2.2267214611406E+00,2.2165250175758E+00,2.2216232062454E+00
2000002,2004-12-31,2.2265173349201E+00,2.2163227581551E+00,2.2214200145046E+00
2000002,2005-01-31,2.4659132734791E+00,2.4557147401673E+00,2.4608139758339E+00
2000002,2005-02-28,2.7439187729760E+00,2.7337134795179E+00,2.7388160952166E+00
2000002,2005-03-31,2.7724066601351E+00,2.7621975781351E+00,2.7673020866539E+00
2000002,2005-04-29,2.8948208426225E+00,2.8846094528658E+00,2.8897151156054E+00
2000002,2005-05-31,2.9692242781080E+00,2.9590085263279E+00,2.9641163689795E+00
2000002,2005-06-30,3.0966801849947E+00,3.0864628461001E+00,3.0915714830135E+00
2000002,2005-07-29,3.3903821285947E+00,3.3801582537456E+00,3.3852701589528E+00
